client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,variation,edad_redondeada,full_bal,call_group,Outlier
2948165,7,89,61.5,U,2,291652.19,2,5,Test,62,250K-500K,2,False
9714140,6,78,65.5,U,3,476097.95,0,3,Test,66,250K-500K,0,False
3233554,16,203,66.5,M,2,314901.35,2,5,Test,66,250K-500K,2,False
6930182,6,79,59.5,U,3,631622.26,6,9,Test,60,500K-1M,6,False
4738519,13,160,48.5,M,2,440046.52,1,4,Test,48,250K-500K,1,False
9229226,22,265,72.0,U,2,352199.83,0,4,Test,72,250K-500K,0,False
2985233,22,264,72.0,M,2,307725.49,6,9,Test,72,250K-500K,6,False
2186143,20,251,55.5,F,2,519393.29,4,7,Test,56,500K-1M,4,False
4333852,27,329,56.5,M,3,1854093.26,2,5,Test,56,1M-5M,2,False
3041776,5,65,60.5,U,2,418391.2,2,5,Control,60,250K-500K,2,False
6991948,13,161,47.0,F,2,475881.98,0,3,Test,47,250K-500K,0,False
2833480,24,292,65.0,M,5,1932983.22,3,6,Control,65,1M-5M,3,False
8847388,19,236,47.5,U,3,418289.21,1,4,Test,48,250K-500K,1,False
6080815,11,139,53.0,F,2,565649.5700000001,6,9,Test,53,500K-1M,6,False
6005237,10,121,25.5,M,4,316819.46,6,9,Test,26,250K-500K,6,False
8004671,10,131,62.5,M,2,489905.71,3,6,Control,62,250K-500K,3,False
6746595,20,251,52.5,M,3,509591.35,5,8,Test,52,500K-1M,5,False
6865229,13,157,65.0,M,3,322464.82,6,9,Control,65,250K-500K,6,False
3240177,12,152,31.5,M,5,1848983.11,6,9,Test,32,1M-5M,6,False
7245855,9,119,29.0,F,3,312255.83,1,4,Control,29,250K-500K,1,False
4919508,25,306,85.0,F,3,301361.51,6,9,Control,85,250K-500K,6,False
3058849,24,292,54.5,F,5,325994.23,4,7,Control,54,250K-500K,4,False
6941992,24,290,65.5,M,4,1168561.36,6,9,Control,66,1M-5M,6,False
5336299,23,285,65.5,M,3,2827886.48,3,6,Control,66,1M-5M,3,False
8950411,21,255,73.0,F,3,504238.21,6,9,Test,73,500K-1M,6,False
1180546,19,231,50.5,F,3,490488.38,6,9,Control,50,250K-500K,6,False
1275733,9,113,44.5,F,2,386433.71,2,5,Test,44,250K-500K,2,False
9218358,15,184,59.0,U,2,427649.23,2,5,Test,59,250K-500K,2,False
8170143,12,155,69.5,M,3,409420.35,3,6,Control,70,250K-500K,3,False
5255030,6,82,51.5,F,4,701200.8200000001,6,9,Test,52,500K-1M,6,False
3875133,16,196,65.0,F,2,425306.23,3,6,Test,65,250K-500K,3,False
6652360,13,167,53.5,U,2,427613.28,4,7,Test,54,250K-500K,4,False
4647478,23,285,75.5,U,2,494775.64,0,4,Control,76,250K-500K,0,False
5490056,12,148,37.0,M,3,319613.26,5,8,Test,37,250K-500K,5,False
2636198,16,199,67.0,F,2,386739.93,3,6,Control,67,250K-500K,3,False
3369137,21,253,62.5,M,2,366632.27,5,8,Control,62,250K-500K,5,False
9408869,35,424,69.0,M,3,583833.7200000001,4,7,Control,69,500K-1M,4,True
1024268,28,337,49.5,F,2,2000736.92,6,9,Test,50,1M-5M,6,False
6571403,17,207,82.0,M,2,346694.53,6,9,Control,82,250K-500K,6,False
6208259,6,73,59.0,M,2,495793.84,5,8,Control,59,250K-500K,5,False
7394783,11,140,63.5,M,2,1083099.37,6,9,Control,64,1M-5M,6,False
1112343,14,169,43.5,M,4,441813.21,6,9,Test,44,250K-500K,6,False
73453,16,201,56.5,M,2,1194883.41,6,9,Control,56,1M-5M,6,False
7337453,12,152,62.5,M,2,674815.6000000001,6,9,Test,62,500K-1M,6,False
4251068,6,81,56.5,U,2,446659.24,2,5,Control,56,250K-500K,2,False
574728,4,56,60.5,M,2,1263840.5499999998,6,9,Test,60,1M-5M,6,False
3781768,22,274,47.0,F,3,367348.12,2,5,Test,47,250K-500K,2,False
7697945,17,215,41.0,M,3,295784.56,5,8,Test,41,250K-500K,5,False
7154717,16,198,43.0,M,3,639231.29,6,9,Control,43,500K-1M,6,False
3647252,23,280,61.0,M,3,2014415.91,0,3,Control,61,1M-5M,0,False
1678234,7,84,52.0,U,3,291797.7,4,7,Control,52,250K-500K,4,False
4431185,22,273,57.0,U,2,445375.51,4,7,Control,57,250K-500K,4,False
2909102,21,254,48.5,M,3,367249.46,4,7,Test,48,250K-500K,4,False
2785387,7,85,48.0,M,2,321776.2,6,9,Control,48,250K-500K,6,False
5955812,13,159,68.5,M,2,462653.5,6,9,Test,68,250K-500K,6,False
2313292,6,73,60.5,U,4,836797.5700000001,3,6,Test,60,500K-1M,3,False
3639173,26,322,63.5,U,3,822716.5,5,8,Test,64,500K-1M,5,False
5299317,4,49,38.5,U,3,312395.41,2,5,Control,38,250K-500K,2,False
4791137,5,65,64.5,U,2,366776.94,6,9,Test,64,250K-500K,6,False
8292253,35,428,52.5,F,2,541888.77,1,4,Test,52,500K-1M,1,True
5333922,23,287,48.5,M,3,880558.67,5,8,Control,48,500K-1M,5,False
371162,5,60,53.5,U,2,762899.89,3,6,Test,54,500K-1M,3,False
2131692,11,132,32.0,M,3,702659.88,3,6,Test,32,500K-1M,3,False
8125499,25,302,51.5,F,3,1640901.12,6,9,Test,52,1M-5M,6,False
3500596,7,91,51.5,U,2,319781.56,4,7,Test,52,250K-500K,4,False
8975499,7,93,62.0,U,3,925292.65,5,8,Test,62,500K-1M,5,False
4321055,32,385,71.0,F,4,820038.28,6,9,Test,71,500K-1M,6,True
949210,29,355,54.5,M,4,1219029.3099999998,4,7,Test,54,1M-5M,4,False
5777101,6,79,73.0,U,2,329723.45,0,5,Control,73,250K-500K,0,False
9683640,16,202,59.0,F,3,291361.37,2,5,Test,59,250K-500K,2,False
6218926,14,177,54.5,M,2,480207.9,5,8,Test,54,250K-500K,5,False
4365782,7,85,60.5,U,2,433254.29,6,9,Test,60,250K-500K,6,False
1124273,4,59,57.5,M,2,542726.99,6,9,Test,58,500K-1M,6,False
1260635,31,383,63.5,M,3,707082.16,6,9,Test,64,500K-1M,6,False
6240210,14,175,44.0,M,2,320368.94,2,5,Control,44,250K-500K,2,False
7994112,18,220,32.5,F,3,299616.14,6,9,Test,32,250K-500K,6,False
9219098,14,170,75.0,M,2,290540.99,4,7,Control,75,250K-500K,4,False
6147316,15,181,56.0,M,2,314794.07,3,7,Control,56,250K-500K,3,False
3634758,24,293,53.0,M,4,469366.35,6,9,Control,53,250K-500K,6,False
627525,20,243,51.0,F,2,335694.77,1,4,Control,51,250K-500K,1,False
3058053,17,206,63.5,F,2,862784.9500000001,1,4,Test,64,500K-1M,1,False
2380192,28,340,52.0,M,3,828492.81,1,4,Control,52,500K-1M,1,False
8720975,13,158,63.5,M,2,849957.89,6,9,Control,64,500K-1M,6,False
9885283,8,106,56.5,M,3,407192.35,4,7,Test,56,250K-500K,4,False
9639863,23,276,72.5,M,2,341986.13,0,3,Test,72,250K-500K,0,False
3827180,26,323,56.0,M,3,2631231.57,4,7,Control,56,1M-5M,4,False
3710401,29,354,52.5,M,3,845281.67,4,7,Test,52,500K-1M,4,False
8496594,12,145,69.5,M,2,367516.61,1,4,Control,70,250K-500K,1,False
6702347,5,66,65.5,U,2,319497.5,6,9,Test,66,250K-500K,6,False
4966474,19,229,85.0,M,4,515053.79,6,9,Control,85,500K-1M,6,False
8389512,12,153,79.5,M,2,996535.6,6,9,Test,80,500K-1M,6,False
1712416,27,330,51.5,M,3,492282.74,6,9,Control,52,250K-500K,6,False
5463569,13,166,59.0,M,5,339033.49,4,8,Test,59,250K-500K,4,False
858693,21,263,49.5,F,3,1435686.12,5,8,Test,50,1M-5M,5,False
5199600,21,261,50.0,M,2,594473.5900000001,5,8,Control,50,500K-1M,5,False
4684538,18,216,67.5,M,2,318341.93,5,8,Test,68,250K-500K,5,False
7151270,17,207,53.5,F,3,1753480.39,6,9,Test,54,1M-5M,6,False
7889081,5,65,60.0,U,2,297565.88,2,5,Test,60,250K-500K,2,False
2163368,5,60,54.5,M,3,505364.26,5,8,Test,54,500K-1M,5,False
1201969,26,323,60.5,F,2,1838033.06,4,7,Test,60,1M-5M,4,False
7515052,4,58,44.5,U,2,437426.12,0,3,Control,44,250K-500K,0,False
7107125,14,176,30.0,M,2,616896.66,6,9,Control,30,500K-1M,6,False
828854,23,287,63.0,U,4,623179.8,3,6,Test,63,500K-1M,3,False
6397357,23,277,67.5,M,4,865797.76,6,9,Test,68,500K-1M,6,False
9415635,23,276,43.0,M,3,680325.7100000001,4,7,Control,43,500K-1M,4,False
6518238,24,289,59.5,F,3,396702.59,4,7,Test,60,250K-500K,4,False
4740618,8,106,68.5,M,4,768476.6900000001,6,9,Control,68,500K-1M,6,False
3329846,7,94,62.0,U,3,918901.11,0,3,Control,62,500K-1M,0,False
9606503,25,300,53.0,M,2,441813.53,2,5,Test,53,250K-500K,2,False
4280794,15,189,67.5,M,2,998064.73,6,9,Test,68,500K-1M,6,False
5044281,17,205,42.5,F,2,596959.76,5,8,Test,42,500K-1M,5,False
9868692,12,154,30.5,F,3,345265.69,4,7,Control,30,250K-500K,4,False
9728732,21,252,51.5,M,4,1237420.6,6,9,Control,52,1M-5M,6,False
2952415,21,252,54.0,M,3,316174.53,5,8,Test,54,250K-500K,5,False
8366482,20,241,44.0,M,2,551983.6000000001,2,5,Control,44,500K-1M,2,False
6985473,15,189,49.0,M,3,305565.4,3,6,Control,49,250K-500K,3,False
1951762,12,152,51.0,F,3,794275.68,2,5,Test,51,500K-1M,2,False
6938297,23,280,63.0,F,3,382683.0,4,7,Control,63,250K-500K,4,False
8402909,5,60,63.5,U,2,410440.46,3,6,Control,64,250K-500K,3,False
3063658,19,232,70.0,M,3,418883.8,6,9,Control,70,250K-500K,6,False
2561640,6,79,56.5,U,2,535674.81,4,7,Test,56,500K-1M,4,False
2725837,16,193,50.0,M,2,485463.95,6,9,Control,50,250K-500K,6,False
2713154,7,92,55.0,M,2,544728.83,4,7,Control,55,500K-1M,4,False
1876212,21,260,45.0,M,3,343998.9,6,9,Control,45,250K-500K,6,False
638651,20,251,59.0,M,3,451875.19,4,7,Control,59,250K-500K,4,False
4300142,2,35,48.0,F,2,425519.13,4,7,Control,48,250K-500K,4,False
2304358,6,79,65.5,M,2,545723.29,3,7,Control,66,500K-1M,3,False
3695486,8,97,46.5,U,2,698411.11,3,6,Test,46,500K-1M,3,False
4351664,27,327,50.0,F,4,567793.0700000001,6,9,Test,50,500K-1M,6,False
298590,11,142,82.0,M,3,588428.6000000001,6,9,Test,82,500K-1M,6,False
3303111,24,292,55.5,F,3,428812.9,5,8,Test,56,250K-500K,5,False
4295629,6,78,71.5,U,2,422613.91,3,6,Test,72,250K-500K,3,False
8211265,6,83,58.5,U,2,351869.46,1,4,Test,58,250K-500K,1,False
8521495,27,330,58.0,F,5,590778.4400000001,6,9,Control,58,500K-1M,6,False
292370,27,335,49.0,M,3,352807.96,6,9,Control,49,250K-500K,6,False
7142697,16,203,72.5,M,2,2150461.07,6,9,Control,72,1M-5M,6,False
1145098,7,85,43.5,U,2,290657.55,1,4,Test,44,250K-500K,1,False
6458249,21,258,50.5,F,4,356455.89,6,9,Test,50,250K-500K,6,False
292954,21,253,56.5,M,3,336824.38,5,8,Control,56,250K-500K,5,False
8893466,6,72,71.0,U,4,458996.0,1,4,Test,71,250K-500K,1,False
7382711,9,111,73.0,F,2,328292.02,2,5,Test,73,250K-500K,2,False
8374942,8,96,55.0,U,2,677829.36,0,3,Test,55,500K-1M,0,False
5951286,27,327,61.5,M,3,400768.99,4,7,Test,62,250K-500K,4,False
1977277,7,84,56.0,U,2,736427.4800000001,4,7,Control,56,500K-1M,4,False
6746507,26,317,57.0,F,3,698686.2200000001,4,7,Control,57,500K-1M,4,False
7370663,22,275,53.0,M,3,363604.71,4,7,Control,53,250K-500K,4,False
6949668,22,271,61.0,M,3,947918.36,4,7,Control,61,500K-1M,4,False
7503479,17,214,39.0,M,5,809369.36,6,9,Test,39,500K-1M,6,False
7654435,4,56,62.5,U,2,372112.17,4,7,Test,62,250K-500K,4,False
2632937,10,129,54.5,M,2,502112.75,3,6,Test,54,500K-1M,3,False
2946292,15,188,86.0,F,2,299630.95,5,8,Control,86,250K-500K,5,False
8786042,6,80,40.5,U,2,1616569.04,5,8,Control,40,1M-5M,5,False
4475357,6,72,86.0,U,2,696169.99,4,7,Control,86,500K-1M,4,False
3722295,15,189,66.0,M,2,625264.7100000001,5,8,Control,66,500K-1M,5,False
5755447,27,327,88.5,M,3,491006.57,6,9,Control,88,250K-500K,6,False
1120449,6,73,35.5,U,4,529921.97,6,9,Test,36,500K-1M,6,False
6160592,28,346,62.0,M,3,395498.05,6,9,Control,62,250K-500K,6,False
2934470,9,109,62.5,M,2,1361457.94,6,9,Control,62,1M-5M,6,False
6252758,14,171,52.5,M,2,299806.62,2,5,Control,52,250K-500K,2,False
9623489,9,108,60.5,M,2,628935.75,1,4,Test,60,500K-1M,1,False
2495191,7,94,62.0,U,2,556260.66,6,9,Control,62,500K-1M,6,False
8284480,9,108,68.5,M,2,318305.29,3,6,Test,68,250K-500K,3,False
9282426,21,254,50.0,M,3,559130.7200000001,6,9,Control,50,500K-1M,6,False
728887,17,209,66.0,M,3,474477.23,5,8,Control,66,250K-500K,5,False
375418,13,157,70.0,M,2,3164276.19,6,9,Control,70,1M-5M,6,False
3515394,7,94,66.5,U,2,296490.24,2,5,Control,66,250K-500K,2,False
7812267,22,275,33.5,M,4,344561.38,2,5,Test,34,250K-500K,2,False
4176901,21,253,57.0,M,3,458783.93,3,6,Test,57,250K-500K,3,False
8295759,14,179,49.5,F,2,563771.5,0,3,Control,50,500K-1M,0,False
3089722,25,305,55.0,M,2,899009.4,1,4,Control,55,500K-1M,1,False
2896984,13,163,58.5,F,2,735598.03,0,6,Control,58,500K-1M,0,False
2779701,7,92,70.0,F,2,318595.6,2,5,Test,70,250K-500K,2,False
5524988,12,152,58.0,M,2,780885.2000000001,5,8,Test,58,500K-1M,5,False
2666616,13,157,53.0,M,3,632080.17,6,9,Test,53,500K-1M,6,False
6399633,13,158,68.5,F,2,485743.06,2,5,Control,68,250K-500K,2,False
4926581,31,382,61.5,M,2,375835.88,3,6,Control,62,250K-500K,3,False
7770587,5,61,34.5,F,2,388107.67,1,4,Test,34,250K-500K,1,False
5220040,11,140,51.0,F,2,309779.66,0,3,Control,51,250K-500K,0,False
7196862,12,153,76.0,M,2,594379.63,6,9,Test,76,500K-1M,6,False
2169790,5,61,52.5,M,2,390341.51,1,4,Test,52,250K-500K,1,False
2458866,5,68,56.5,M,2,654826.64,5,8,Test,56,500K-1M,5,False
7310724,8,96,68.0,M,2,672296.13,6,9,Test,68,500K-1M,6,False
4738135,2,33,57.0,U,2,771748.76,6,9,Control,57,500K-1M,6,False
7511167,9,111,62.5,M,2,453602.38,1,4,Test,62,250K-500K,1,False
4219831,22,265,62.0,F,2,290930.33,6,9,Control,62,250K-500K,6,False
3430468,11,134,58.0,F,2,397081.63,3,7,Control,58,250K-500K,3,False
1102877,9,108,42.5,F,2,466096.93,6,9,Test,42,250K-500K,6,False
3293764,11,142,55.5,M,2,434771.82,3,6,Control,56,250K-500K,3,False
3651283,14,173,55.0,F,4,790393.7200000001,6,9,Test,55,500K-1M,6,False
4059624,11,141,58.5,F,2,343434.6,3,7,Test,58,250K-500K,3,False
5959759,12,153,39.0,M,2,448189.53,6,9,Control,39,250K-500K,6,False
7298730,6,77,50.0,U,2,428570.74,2,5,Control,50,250K-500K,2,False
1541765,23,283,63.5,M,6,927057.66,5,8,Test,64,500K-1M,5,False
126090,23,280,73.0,M,3,551843.62,6,9,Control,73,500K-1M,6,False
4850631,33,407,80.0,M,3,1656725.37,6,9,Control,80,1M-5M,6,True
8824053,12,144,46.5,M,2,417710.9,5,8,Control,46,250K-500K,5,False
6979480,9,109,62.0,F,2,477339.85,0,3,Control,62,250K-500K,0,False
2475423,6,75,71.0,U,2,385727.75,4,7,Test,71,250K-500K,4,False
6937048,16,196,34.0,M,2,378698.63,3,6,Control,34,250K-500K,3,False
134829,7,84,61.5,F,2,378090.54,1,4,Control,62,250K-500K,1,False
2291985,7,85,41.0,M,2,8247729.97,1,4,Control,41,5M-10M,1,False
2509466,28,343,64.5,M,2,394664.53,4,7,Test,64,250K-500K,4,False
2221190,4,56,41.0,U,2,422297.84,5,8,Test,41,250K-500K,5,False
4978123,17,205,58.5,M,2,422344.37,6,9,Control,58,250K-500K,6,False
1573977,5,63,58.0,F,2,333223.65,6,9,Control,58,250K-500K,6,False
330035,4,49,59.5,M,2,930987.39,4,7,Test,60,500K-1M,4,False
1586517,25,302,57.5,M,3,534155.8,6,9,Test,58,500K-1M,6,False
7174639,17,215,48.5,F,2,346116.05,5,8,Test,48,250K-500K,5,False
6165948,10,130,61.5,M,2,1134769.98,5,8,Control,62,1M-5M,5,False
7956518,14,169,70.0,M,2,372835.34,3,6,Test,70,250K-500K,3,False
810930,7,86,59.5,U,5,543723.5,5,8,Test,60,500K-1M,5,False
1421689,5,65,52.5,M,2,444351.67,6,9,Test,52,250K-500K,6,False
5288149,19,230,50.0,M,2,443447.42,6,9,Test,50,250K-500K,6,False
9135395,23,277,58.5,U,2,481552.73,4,7,Test,58,250K-500K,4,False
2882250,22,268,68.5,M,3,314719.7,5,8,Test,68,250K-500K,5,False
7485810,20,250,64.5,M,3,1194247.66,6,9,Test,64,1M-5M,6,False
7136705,19,229,61.5,M,2,879987.2200000001,2,5,Control,62,500K-1M,2,False
4577672,9,114,68.0,M,2,450932.68,6,9,Test,68,250K-500K,6,False
9486310,12,151,58.5,M,2,1861080.5,1,4,Test,58,1M-5M,1,False
5997162,15,186,50.5,M,2,293854.57,2,5,Control,50,250K-500K,2,False
4150418,21,258,67.0,F,3,1353228.92,4,7,Control,67,1M-5M,4,False
1532881,13,164,50.5,M,2,675930.16,6,9,Control,50,500K-1M,6,False
2592191,17,206,43.5,M,4,504409.35,5,8,Test,44,500K-1M,5,False
4699897,9,113,49.5,F,2,492282.66,4,7,Test,50,250K-500K,4,False
6651029,10,124,47.5,M,2,409450.13,4,7,Test,48,250K-500K,4,False
4633166,12,148,60.0,F,2,509847.1,6,9,Control,60,500K-1M,6,False
5109760,17,209,62.0,M,3,1574700.2999999998,3,6,Control,62,1M-5M,3,False
908893,19,230,62.0,M,2,383130.4,0,3,Test,62,250K-500K,0,False
4840318,4,58,58.5,U,2,335886.4,2,5,Control,58,250K-500K,2,False
8245264,13,156,65.5,F,2,464842.02,6,9,Test,66,250K-500K,6,False
2339127,14,170,45.0,M,2,727960.03,6,9,Control,45,500K-1M,6,False
6730712,24,293,54.0,M,2,698195.41,6,9,Test,54,500K-1M,6,False
1917368,25,311,88.0,M,2,472362.12,0,3,Control,88,250K-500K,0,False
4209572,14,178,57.0,M,3,817773.68,6,9,Test,57,500K-1M,6,False
8939988,14,178,61.5,M,3,352394.82,5,8,Control,62,250K-500K,5,False
898960,11,137,55.5,M,2,329683.21,6,9,Test,56,250K-500K,6,False
8550901,15,187,43.5,M,2,474162.66,6,9,Control,44,250K-500K,6,False
4325889,8,103,88.5,F,2,419202.83,2,5,Test,88,250K-500K,2,False
3045158,34,419,60.5,M,3,620316.9700000001,6,9,Control,60,500K-1M,6,True
8492366,22,268,61.5,F,3,414416.95,5,8,Control,62,250K-500K,5,False
1977311,15,189,76.0,F,2,359532.75,0,4,Test,76,250K-500K,0,False
3634423,24,296,55.5,F,4,481087.82,2,5,Test,56,250K-500K,2,False
863704,22,264,53.0,U,2,333201.12,3,6,Control,53,250K-500K,3,False
1325678,21,253,77.5,M,3,1497953.3199999998,6,9,Test,78,1M-5M,6,False
383141,34,411,57.5,F,3,312161.94,0,5,Test,58,250K-500K,0,True
9728696,10,122,54.0,M,2,780581.04,0,3,Test,54,500K-1M,0,False
9059192,15,181,56.5,M,3,623054.27,3,6,Control,56,500K-1M,3,False
4011125,24,294,69.0,M,2,524175.14,3,6,Test,69,500K-1M,3,False
3553394,35,430,60.0,M,2,618693.3400000001,6,9,Control,60,500K-1M,6,True
6095222,23,277,60.5,M,3,867495.2200000001,3,6,Test,60,500K-1M,3,False
3161390,21,263,48.5,M,3,531821.9500000001,3,6,Test,48,500K-1M,3,False
450752,19,234,62.5,M,2,394276.61,6,9,Control,62,250K-500K,6,False
1763424,8,96,71.0,U,2,590130.5,3,6,Test,71,500K-1M,3,False
5369787,6,80,65.5,U,2,405071.87,0,3,Test,66,250K-500K,0,False
6923519,4,56,31.5,U,4,527754.36,4,7,Control,32,500K-1M,4,False
1109236,24,288,53.5,M,4,540573.53,1,4,Test,54,500K-1M,1,False
259228,21,253,46.5,F,3,447757.63,0,3,Test,46,250K-500K,0,False
796524,20,246,50.0,F,3,558066.7100000001,4,7,Control,50,500K-1M,4,False
64964,28,343,64.5,F,2,309748.62,0,3,Control,64,250K-500K,0,False
6215911,15,189,54.0,F,3,408124.91,3,6,Control,54,250K-500K,3,False
8308042,11,133,32.0,M,2,701951.65,6,9,Control,32,500K-1M,6,False
6452935,8,98,57.5,M,2,339991.7,0,3,Control,58,250K-500K,0,False
5317278,23,287,69.5,M,3,346406.18,6,9,Test,70,250K-500K,6,False
3992683,22,270,43.5,F,3,413416.0,2,5,Test,44,250K-500K,2,False
2866503,18,224,64.5,M,3,605715.62,1,4,Control,64,500K-1M,1,False
9151407,7,89,55.0,U,2,591951.04,6,9,Test,55,500K-1M,6,False
1266731,26,314,58.5,M,2,370955.74,2,5,Control,58,250K-500K,2,False
9632177,15,190,54.0,U,3,361107.72,6,9,Control,54,250K-500K,6,False
3361320,17,205,59.0,M,2,734381.92,6,9,Control,59,500K-1M,6,False
3640838,21,256,71.5,U,2,358230.36,3,6,Control,72,250K-500K,3,False
5233962,13,156,67.5,M,2,356628.91,1,4,Test,68,250K-500K,1,False
9939253,10,121,65.5,M,2,456385.6,2,5,Control,66,250K-500K,2,False
5545133,6,82,51.5,U,3,426363.31,5,8,Test,52,250K-500K,5,False
796031,15,182,65.0,F,2,333542.79,6,9,Control,65,250K-500K,6,False
6776360,4,59,61.5,U,2,587422.52,1,4,Control,62,500K-1M,1,False
9173795,13,160,37.5,M,2,298969.12,3,6,Test,38,250K-500K,3,False
805150,7,87,51.5,U,3,673410.87,6,9,Test,52,500K-1M,6,False
2515588,27,325,61.5,M,4,594467.7200000001,0,3,Test,62,500K-1M,0,False
738215,27,324,71.0,F,3,593464.03,4,7,Test,71,500K-1M,4,False
6069792,16,194,58.0,M,2,481808.64,1,4,Test,58,250K-500K,1,False
4701664,10,129,76.5,M,3,1242495.2,5,9,Control,76,1M-5M,5,False
4504614,19,231,62.5,M,3,2496867.17,1,4,Control,62,1M-5M,1,False
2149499,27,324,68.5,M,3,610341.2300000001,6,9,Control,68,500K-1M,6,False
9826642,12,153,70.0,M,2,3089355.94,2,5,Test,70,1M-5M,2,False
6913104,11,140,72.0,M,2,632279.39,1,4,Test,72,500K-1M,1,False
2262081,21,255,51.5,M,5,900771.28,5,8,Control,52,500K-1M,5,False
