,client_id,confirm,start,step_1,step_2,step_3,conversion,completed_&_confused,completed_linear,variation
124,24079,,3.0,,,,0,0,0,Control
125,24443,1.0,6.0,6.0,5.0,3.0,1,1,0,Test
126,24572,1.0,2.0,2.0,1.0,1.0,1,1,0,Test
127,24703,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
128,24710,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
129,24841,6.0,2.0,2.0,1.0,1.0,1,1,0,Test
130,25022,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
131,25026,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
132,25043,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
133,25766,1.0,1.0,1.0,2.0,2.0,1,1,0,Control
134,26036,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
135,26070,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
136,26105,1.0,2.0,1.0,1.0,1.0,1,0,0,Test
137,26211,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
138,26286,,1.0,1.0,,,0,0,0,Control
139,26696,,3.0,,,,0,0,0,Test
140,27021,1.0,2.0,2.0,2.0,2.0,1,1,0,Control
141,27075,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
142,27241,1.0,3.0,3.0,2.0,1.0,1,1,0,Control
143,27554,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
144,27764,3.0,2.0,2.0,1.0,1.0,1,1,0,Test
145,27907,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
146,27988,1.0,8.0,2.0,2.0,1.0,1,1,0,Control
147,28241,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
148,28371,1.0,2.0,2.0,2.0,1.0,1,1,0,Test
149,28542,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
150,28705,1.0,3.0,3.0,2.0,1.0,1,1,0,Control
151,28845,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
152,28857,1.0,4.0,5.0,4.0,3.0,1,1,0,Control
153,29227,2.0,3.0,1.0,1.0,1.0,1,0,0,Test
154,29527,1.0,1.0,1.0,2.0,1.0,1,1,0,Test
155,29595,3.0,1.0,1.0,1.0,1.0,1,0,0,Control
156,30318,1.0,5.0,3.0,2.0,2.0,1,1,0,Test
157,30462,,1.0,,,,0,0,0,Test
158,30493,1.0,2.0,3.0,1.0,1.0,1,1,0,Test
159,31191,,2.0,,,,0,0,0,Control
160,31264,1.0,3.0,2.0,2.0,1.0,1,1,0,Control
161,31336,2.0,2.0,6.0,4.0,2.0,1,1,0,Test
162,31404,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
163,31499,1.0,3.0,2.0,2.0,1.0,1,1,0,Test
164,31502,1.0,2.0,2.0,2.0,2.0,1,1,0,Control
165,31597,8.0,16.0,10.0,9.0,9.0,1,1,0,Test
166,31715,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
167,31766,,3.0,3.0,1.0,,0,0,0,Test
168,32197,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
169,32305,,1.0,1.0,,,0,0,0,Control
170,32471,,3.0,2.0,2.0,2.0,0,0,0,Test
171,32521,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
172,32746,1.0,4.0,3.0,1.0,1.0,1,1,0,Test
173,32859,,1.0,1.0,1.0,1.0,0,0,0,Control
174,33190,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
175,33265,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
176,33463,1.0,2.0,3.0,3.0,3.0,1,1,0,Control
177,33472,5.0,1.0,1.0,1.0,1.0,1,0,0,Test
178,33752,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
179,34067,1.0,2.0,2.0,1.0,1.0,1,1,0,Control
180,34101,,4.0,,,,0,0,0,Test
181,34267,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
182,34501,,4.0,2.0,2.0,,0,0,0,Control
183,34603,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
184,34608,,1.0,1.0,,,0,0,0,Test
185,34631,,3.0,2.0,1.0,1.0,0,0,0,Control
186,35010,,2.0,2.0,1.0,,0,0,0,Test
187,35087,,1.0,2.0,2.0,,0,0,0,Control
188,35091,,2.0,1.0,,,0,0,0,Test
189,35138,3.0,1.0,1.0,1.0,1.0,1,0,0,Test
190,35181,1.0,3.0,2.0,1.0,1.0,1,1,0,Test
191,35257,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
192,35346,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
193,35417,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
194,35476,1.0,5.0,3.0,1.0,1.0,1,1,0,Test
195,35922,1.0,2.0,1.0,1.0,1.0,1,0,0,Test
196,36109,3.0,2.0,2.0,1.0,1.0,1,1,0,Control
197,36342,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
198,36363,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
199,36430,3.0,1.0,1.0,2.0,3.0,1,1,0,Test
200,36432,,2.0,2.0,1.0,,0,0,0,Test
201,36555,,5.0,3.0,1.0,1.0,0,0,0,Test
202,36986,1.0,6.0,5.0,2.0,2.0,1,1,0,Test
203,37064,1.0,1.0,1.0,3.0,3.0,1,1,0,Control
204,37295,1.0,2.0,1.0,2.0,2.0,1,1,0,Control
205,37408,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
206,37423,1.0,7.0,5.0,1.0,1.0,1,1,0,Test
207,37667,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
208,37691,,3.0,1.0,,,0,0,0,Test
209,37705,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
210,37897,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
211,38275,,3.0,,,,0,0,0,Test
212,38283,1.0,3.0,2.0,1.0,1.0,1,1,0,Test
213,38340,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
214,38551,1.0,2.0,1.0,1.0,1.0,1,0,0,Test
215,38685,2.0,1.0,1.0,1.0,1.0,1,0,0,Control
216,38714,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
217,38775,,2.0,,,,0,0,0,Test
218,38930,1.0,1.0,2.0,2.0,2.0,1,1,0,Control
219,38963,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
220,39004,,1.0,,,,0,0,0,Test
221,39075,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
222,39566,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
223,39968,,2.0,,,,0,0,0,Control
224,40283,,10.0,,,,0,0,0,Test
225,40439,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
226,40969,,4.0,1.0,,,0,0,0,Test
227,41122,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
228,41142,3.0,7.0,2.0,1.0,1.0,1,1,0,Test
229,41199,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
230,41237,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
231,41516,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
232,41652,,1.0,1.0,,,0,0,0,Control
233,41924,,5.0,1.0,1.0,,0,0,0,Test
234,42082,1.0,2.0,1.0,1.0,1.0,1,0,0,Control
235,42296,,4.0,1.0,,,0,0,0,Control
236,42349,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
237,42725,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
238,43494,,4.0,1.0,1.0,,0,0,0,Control
239,43645,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
240,43766,,1.0,1.0,,,0,0,0,Control
241,44060,1.0,2.0,3.0,2.0,1.0,1,1,0,Control
242,44216,1.0,3.0,1.0,1.0,1.0,1,0,0,Control
243,44705,1.0,3.0,2.0,1.0,1.0,1,1,0,Test
244,44860,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
245,44932,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
246,44995,,1.0,1.0,,,0,0,0,Test
247,45131,2.0,4.0,2.0,2.0,2.0,1,1,0,Test
248,45232,1.0,7.0,1.0,1.0,1.0,1,0,0,Test
249,45485,1.0,1.0,1.0,2.0,3.0,1,1,0,Test
250,45510,1.0,3.0,2.0,2.0,2.0,1,1,0,Test
251,46223,,1.0,1.0,1.0,1.0,0,0,0,Control
252,46790,,2.0,1.0,1.0,,0,0,0,Test
253,46934,,4.0,,,,0,0,0,Test
254,47402,,3.0,1.0,1.0,,0,0,0,Control
255,47571,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
256,47860,,2.0,1.0,1.0,2.0,0,0,0,Test
257,47933,1.0,3.0,2.0,1.0,1.0,1,1,0,Control
258,48241,,8.0,7.0,3.0,,0,0,0,Control
259,48424,,4.0,4.0,2.0,3.0,0,0,0,Control
260,48431,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
261,48448,2.0,2.0,1.0,1.0,1.0,1,0,0,Test
262,48724,1.0,5.0,2.0,2.0,2.0,1,1,0,Test
263,49412,1.0,1.0,1.0,3.0,3.0,1,1,0,Control
264,49450,1.0,2.0,2.0,2.0,2.0,1,1,0,Control
265,49709,1.0,1.0,1.0,4.0,4.0,1,1,0,Test
266,49998,,1.0,1.0,,,0,0,0,Test
267,50053,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
268,50090,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
269,50185,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
270,50271,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
271,50325,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
272,50599,,2.0,,,,0,0,0,Test
273,50643,2.0,3.0,1.0,2.0,1.0,1,1,0,Control
274,50692,,1.0,,,,0,0,0,Control
275,51493,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
276,51526,1.0,3.0,2.0,1.0,2.0,1,1,0,Test
277,51706,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
278,51814,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
279,51902,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
280,52111,1.0,6.0,4.0,2.0,3.0,1,1,0,Control
281,52309,,2.0,3.0,2.0,,0,0,0,Test
282,52384,,2.0,,,,0,0,0,Control
283,52456,1.0,2.0,2.0,2.0,3.0,1,1,0,Control
284,52461,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
285,52743,1.0,3.0,3.0,3.0,2.0,1,1,0,Test
286,52765,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
287,53094,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
288,53123,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
289,53126,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
290,53169,,2.0,,,,0,0,0,Control
291,53396,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
292,53990,,1.0,1.0,1.0,1.0,0,0,0,Control
293,54231,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
294,54291,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
295,54363,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
296,54477,,1.0,,,,0,0,0,Control
297,54893,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
298,55059,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
299,55265,1.0,1.0,2.0,2.0,2.0,1,1,0,Test
300,55333,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
301,55448,1.0,3.0,2.0,1.0,1.0,1,1,0,Control
302,55951,,3.0,,,,0,0,0,Test
303,56294,1.0,2.0,2.0,1.0,1.0,1,1,0,Test
304,56529,1.0,4.0,1.0,1.0,1.0,1,0,0,Control
305,56570,,3.0,2.0,1.0,1.0,0,0,0,Test
306,56782,,3.0,1.0,1.0,,0,0,0,Control
307,56923,2.0,1.0,1.0,2.0,2.0,1,1,0,Test
308,58001,1.0,2.0,3.0,1.0,1.0,1,1,0,Control
309,58194,1.0,1.0,3.0,2.0,2.0,1,1,0,Test
310,58196,1.0,9.0,3.0,2.0,2.0,1,1,0,Control
311,58456,4.0,6.0,3.0,1.0,1.0,1,1,0,Control
312,58589,1.0,3.0,3.0,3.0,3.0,1,1,0,Control
313,58676,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
314,58867,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
315,58917,1.0,2.0,3.0,1.0,1.0,1,1,0,Control
316,58962,1.0,1.0,3.0,1.0,1.0,1,1,0,Test
317,59089,1.0,2.0,1.0,1.0,1.0,1,0,0,Control
318,59152,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
319,59360,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
320,59605,,1.0,1.0,,,0,0,0,Control
321,59782,1.0,2.0,2.0,1.0,1.0,1,1,0,Control
322,59802,1.0,1.0,2.0,2.0,2.0,1,1,0,Test
323,59860,1.0,4.0,4.0,1.0,1.0,1,1,0,Control
324,60101,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
325,60483,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
326,60802,,4.0,3.0,1.0,1.0,0,0,0,Test
327,60958,,2.0,,,,0,0,0,Test
328,61007,,4.0,,,,0,0,0,Test
329,61487,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
330,61650,1.0,3.0,1.0,1.0,1.0,1,0,0,Test
331,61961,1.0,1.0,2.0,2.0,1.0,1,1,0,Test
332,62058,,1.0,,,,0,0,0,Control
333,62284,1.0,1.0,1.0,2.0,1.0,1,1,0,Test
334,62498,,1.0,,,,0,0,0,Control
335,62503,,3.0,1.0,1.0,1.0,0,0,0,Control
336,62754,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
337,62791,4.0,1.0,1.0,1.0,1.0,1,0,0,Test
338,62805,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
339,62837,,1.0,1.0,,,0,0,0,Control
340,63001,,1.0,1.0,1.0,,0,0,0,Control
341,63377,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
342,63507,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
343,63796,2.0,2.0,4.0,1.0,1.0,1,1,0,Test
344,63879,4.0,3.0,1.0,1.0,2.0,1,1,0,Test
345,63955,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
346,64020,1.0,1.0,2.0,2.0,1.0,1,1,0,Control
347,64058,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
348,64635,2.0,,,,,0,0,0,Test
349,64871,3.0,1.0,1.0,1.0,1.0,1,0,0,Control
350,64885,,1.0,1.0,,,0,0,0,Test
351,64964,1.0,2.0,2.0,1.0,1.0,1,1,0,Control
352,65221,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
353,65716,1.0,2.0,1.0,3.0,3.0,1,1,0,Control
354,65845,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
355,66160,3.0,1.0,1.0,1.0,1.0,1,0,0,Test
356,66169,1.0,2.0,2.0,2.0,2.0,1,1,0,Control
357,66539,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
358,66543,,2.0,,,,0,0,0,Control
359,66930,,1.0,2.0,3.0,2.0,0,0,0,Test
360,67390,1.0,2.0,2.0,1.0,1.0,1,1,0,Test
361,67452,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
362,67845,,2.0,2.0,,,0,0,0,Test
363,67925,2.0,3.0,1.0,1.0,2.0,1,1,0,Test
364,68116,,1.0,,,,0,0,0,Control
365,68170,,2.0,,,,0,0,0,Control
366,68276,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
367,68830,1.0,2.0,2.0,1.0,1.0,1,1,0,Control
368,68854,1.0,3.0,1.0,1.0,1.0,1,0,0,Control
369,68884,,6.0,2.0,2.0,2.0,0,0,0,Test
370,68886,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
371,68963,1.0,5.0,3.0,2.0,2.0,1,1,0,Control
372,69255,1.0,1.0,,,1.0,0,0,0,Control
373,69568,,1.0,1.0,1.0,1.0,0,0,0,Test
374,69591,,1.0,,,,0,0,0,Test
375,69598,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
376,70225,1.0,1.0,1.0,1.0,3.0,1,1,0,Control
377,70576,1.0,6.0,4.0,3.0,2.0,1,1,0,Test
378,70863,,1.0,,,,0,0,0,Test
379,71159,,2.0,,,,0,0,0,Test
380,71296,1.0,5.0,5.0,1.0,1.0,1,1,0,Control
381,71476,,1.0,,,,0,0,0,Control
382,71626,,2.0,3.0,1.0,1.0,0,0,0,Control
383,72074,1.0,4.0,3.0,3.0,1.0,1,1,0,Test
384,72221,1.0,3.0,3.0,3.0,3.0,1,1,0,Control
385,72388,,1.0,1.0,1.0,1.0,0,0,0,Test
386,72395,1.0,2.0,2.0,1.0,1.0,1,1,0,Test
387,72915,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
388,72916,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
389,72988,,2.0,,,,0,0,0,Test
390,73331,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
391,73335,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
392,73453,1.0,2.0,1.0,1.0,1.0,1,0,0,Control
393,73615,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
394,73648,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
395,73910,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
396,74169,1.0,3.0,2.0,1.0,1.0,1,1,0,Control
397,74564,,2.0,1.0,1.0,1.0,0,0,0,Test
398,74844,,3.0,1.0,1.0,1.0,0,0,0,Test
399,74976,1.0,3.0,2.0,1.0,1.0,1,1,0,Test
400,75033,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
401,75381,,1.0,1.0,,,0,0,0,Control
402,75490,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
403,75642,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
404,76424,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
405,76429,3.0,2.0,2.0,1.0,1.0,1,1,0,Test
406,76481,1.0,10.0,6.0,2.0,1.0,1,1,0,Test
407,76635,,1.0,3.0,3.0,,0,0,0,Test
408,76775,,1.0,1.0,,,0,0,0,Test
409,76776,1.0,3.0,3.0,2.0,2.0,1,1,0,Control
410,77071,1.0,2.0,1.0,2.0,2.0,1,1,0,Control
411,77276,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
412,77513,1.0,2.0,2.0,1.0,2.0,1,1,0,Test
413,77651,1.0,,,,,0,0,0,Test
414,77933,1.0,1.0,1.0,1.0,1.0,1,0,1,Test
415,78720,,1.0,,,,0,0,0,Test
416,78728,,2.0,1.0,1.0,1.0,0,0,0,Control
417,78779,,11.0,,,,0,0,0,Test
418,78917,,2.0,2.0,,,0,0,0,Control
419,79127,1.0,3.0,3.0,1.0,1.0,1,1,0,Control
420,79229,,2.0,1.0,1.0,,0,0,0,Control
421,79452,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
422,79571,2.0,1.0,1.0,1.0,1.0,1,0,0,Control
423,79669,,5.0,2.0,,,0,0,0,Test
424,79679,4.0,1.0,1.0,1.0,1.0,1,0,0,Control
425,79819,,5.0,,,,0,0,0,Control
426,79897,4.0,3.0,2.0,1.0,1.0,1,1,0,Test
427,80006,1.0,2.0,2.0,2.0,2.0,1,1,0,Test
428,80126,2.0,1.0,1.0,1.0,1.0,1,0,0,Test
429,80127,1.0,3.0,3.0,1.0,1.0,1,1,0,Control
430,80241,,3.0,1.0,,,0,0,0,Control
431,80275,3.0,7.0,3.0,2.0,1.0,1,1,0,Test
432,80479,4.0,2.0,2.0,2.0,1.0,1,1,0,Test
433,80559,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
434,80801,,4.0,3.0,3.0,3.0,0,0,0,Test
435,80915,1.0,1.0,1.0,1.0,2.0,1,1,0,Control
436,81102,1.0,1.0,1.0,1.0,1.0,1,0,1,Control
437,81119,,2.0,1.0,1.0,,0,0,0,Test
438,81303,2.0,4.0,1.0,1.0,1.0,1,0,0,Test
439,81601,7.0,2.0,1.0,1.0,1.0,1,0,0,Control
440,81720,2.0,5.0,1.0,1.0,1.0,1,0,0,Test
441,81816,,1.0,1.0,1.0,,0,0,0,Control
