client_id,confirm,start,step_1,step_2,step_3,conversion,completed_&_confused,completed_linear,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,variation,edad_redondeada,full_bal,call_group
7567,1.0,,1.0,1.0,1.0,0,0,0,21,252,33.0,F,2,27165.99,1,5,Control,33,0-50K,1
7657,1.0,2.0,2.0,1.0,1.0,1,1,0,18,218,41.5,M,2,55643.37,2,5,Test,42,50K-100K,2
7723,1.0,1.0,1.0,1.0,1.0,1,0,1,30,364,54.5,M,4,571316.8,5,8,Test,54,500K-1M,5
7934,,2.0,1.0,,,0,0,0,20,241,44.0,F,2,126480.9,6,9,Test,44,100K-250K,6
8023,,1.0,1.0,,,0,0,0,21,257,50.0,F,2,34676.55,3,6,Test,50,0-50K,3
8039,,1.0,1.0,1.0,1.0,0,0,0,18,226,58.0,U,2,79960.0,6,9,Control,58,50K-100K,6
8055,1.0,1.0,1.0,1.0,1.0,1,0,1,22,269,55.5,M,2,710672.04,5,8,Test,56,500K-1M,5
8101,1.0,1.0,1.0,1.0,1.0,1,0,1,11,143,70.5,M,2,257863.03,6,9,Control,70,250K-500K,6
8124,,1.0,,,,0,0,0,14,170,42.0,M,2,61022.23,5,8,Control,42,50K-100K,5
8610,,2.0,,,,0,0,0,8,99,27.0,U,2,36626.55,0,3,Test,27,0-50K,0
8712,,2.0,2.0,2.0,,0,0,0,9,108,38.0,U,2,84995.78,1,4,Test,38,50K-100K,1
8820,1.0,1.0,1.0,1.0,1.0,1,0,1,4,56,25.5,U,2,44159.49,2,5,Test,26,0-50K,2
9229,,3.0,3.0,2.0,,0,0,0,8,105,42.0,M,2,78242.15,6,9,Control,42,50K-100K,6
9751,,3.0,2.0,2.0,,0,0,0,5,63,36.0,M,2,30597.08,4,7,Test,36,0-50K,4
9767,1.0,3.0,2.0,2.0,2.0,1,1,0,6,75,34.0,M,2,29523.54,1,4,Control,34,0-50K,1
9845,,1.0,,,,0,0,0,5,60,25.0,F,2,31196.85,0,3,Control,25,0-50K,0
9916,1.0,1.0,1.0,1.0,1.0,1,0,1,17,211,40.5,M,2,162968.55,4,7,Test,40,100K-250K,4
10344,,5.0,,,,0,0,0,17,205,82.0,M,2,94009.47,3,6,Control,82,50K-100K,3
10363,,1.0,1.0,,,0,0,0,6,73,26.0,U,3,81518.45999999999,6,9,Test,26,50K-100K,6
11040,1.0,1.0,1.0,1.0,1.0,1,0,1,5,69,31.5,U,3,50531.17999999999,6,9,Test,32,50K-100K,6
11054,1.0,2.0,1.0,1.0,1.0,1,0,0,4,56,60.0,M,2,208185.54,2,5,Control,60,100K-250K,2
11070,1.0,5.0,2.0,2.0,2.0,1,1,0,14,171,53.5,M,3,255988.05,6,9,Control,54,250K-500K,6
11122,1.0,1.0,1.0,1.0,1.0,1,0,1,16,194,40.5,M,2,31193.51,2,5,Control,40,0-50K,2
11309,2.0,1.0,1.0,1.0,1.0,1,0,0,10,126,46.5,F,3,647166.9600000001,5,8,Test,46,500K-1M,5
11880,2.0,5.0,2.0,1.0,1.0,1,1,0,5,71,27.0,U,2,61355.21,6,9,Test,27,50K-100K,6
12045,,,1.0,1.0,,0,0,0,12,154,37.0,F,2,140704.74,2,5,Control,37,100K-250K,2
12785,1.0,1.0,1.0,2.0,2.0,1,1,0,15,190,51.5,F,2,82425.54999999999,2,5,Test,52,50K-100K,2
13009,1.0,1.0,1.0,2.0,2.0,1,1,0,10,121,63.5,U,2,71534.88,1,4,Control,64,50K-100K,1
13735,2.0,1.0,1.0,1.0,1.0,1,0,0,11,143,27.5,M,2,119530.99,5,8,Test,28,100K-250K,5
13831,,6.0,2.0,1.0,,0,0,0,16,194,42.0,F,3,241208.2,6,9,Control,42,100K-250K,6
14690,,2.0,1.0,,,0,0,0,6,83,43.0,M,3,205881.18,5,8,Test,43,100K-250K,5
14775,,1.0,,,,0,0,0,15,191,28.0,F,4,150775.9,5,8,Control,28,100K-250K,5
15050,1.0,3.0,3.0,1.0,1.0,1,1,0,26,321,52.5,F,3,65688.56,6,9,Test,52,50K-100K,6
15189,1.0,1.0,1.0,1.0,1.0,1,0,1,5,66,19.5,U,3,52505.2,1,4,Test,20,50K-100K,1
15753,,5.0,2.0,2.0,1.0,0,0,0,6,75,58.0,M,2,59565.0,3,6,Test,58,50K-100K,3
15807,,2.0,1.0,1.0,1.0,0,0,0,4,55,27.0,F,2,59259.9,3,6,Test,27,50K-100K,3
16095,,1.0,1.0,1.0,1.0,0,0,0,6,76,30.0,U,2,81652.98,1,4,Control,30,50K-100K,1
16098,1.0,1.0,1.0,1.0,1.0,1,0,1,6,72,36.5,U,3,58643.48,2,5,Test,36,50K-100K,2
16135,1.0,7.0,5.0,1.0,1.0,1,1,0,14,170,63.5,F,2,173616.2,3,6,Control,64,100K-250K,3
16202,,,1.0,,,0,0,0,7,94,36.0,U,2,32984.48,1,4,Control,36,0-50K,1
16295,1.0,3.0,3.0,1.0,1.0,1,1,0,23,281,55.0,F,2,77984.93,2,5,Test,55,50K-100K,2
16549,2.0,2.0,2.0,2.0,2.0,1,1,0,24,294,55.5,F,3,314799.02,4,7,Control,56,250K-500K,4
16679,,6.0,1.0,1.0,,0,0,0,7,89,40.0,U,2,65987.79999999999,6,9,Control,40,50K-100K,6
16744,,2.0,,,,0,0,0,18,224,62.0,F,2,117267.04,1,4,Control,62,100K-250K,1
16747,1.0,1.0,1.0,1.0,1.0,1,0,1,13,166,31.5,F,2,64652.09,1,4,Control,32,50K-100K,1
16881,,1.0,,,,0,0,0,5,70,55.0,U,3,72457.16,6,9,Test,55,50K-100K,6
17008,1.0,1.0,1.0,1.0,1.0,1,0,1,25,304,55.5,M,2,27571.03,1,4,Control,56,0-50K,1
17036,1.0,1.0,1.0,1.0,1.0,1,0,1,5,65,34.5,U,3,49959.53,3,6,Control,34,0-50K,3
17160,1.0,4.0,3.0,1.0,1.0,1,1,0,14,169,53.5,F,3,140511.63,6,9,Control,54,100K-250K,6
17170,1.0,1.0,1.0,1.0,1.0,1,0,1,15,189,63.0,M,2,83531.35,3,6,Test,63,50K-100K,3
17318,,2.0,1.0,1.0,1.0,0,0,0,16,195,69.0,M,2,51120.27,0,3,Test,69,50K-100K,0
17404,1.0,1.0,1.0,1.0,1.0,1,0,1,5,70,37.5,U,2,45770.59,3,6,Test,38,0-50K,3
18549,3.0,1.0,1.0,1.0,1.0,1,0,0,22,264,43.0,M,3,55374.98,4,7,Test,43,50K-100K,4
18660,,2.0,2.0,,,0,0,0,18,222,45.0,M,2,98708.9,2,5,Control,45,50K-100K,2
18973,1.0,2.0,1.0,1.0,1.0,1,0,0,13,160,54.0,M,4,353529.66,1,4,Control,54,250K-500K,1
19060,,2.0,1.0,1.0,1.0,0,0,0,9,117,55.0,M,2,70494.94,0,3,Test,55,50K-100K,0
19613,,1.0,,,,0,0,0,7,84,26.0,U,2,69056.51999999999,4,7,Control,26,50K-100K,4
19782,1.0,1.0,1.0,1.0,1.0,1,0,1,6,82,61.5,U,2,27840.35,2,5,Control,62,0-50K,2
19813,1.0,2.0,1.0,1.0,1.0,1,0,0,14,168,65.0,F,2,31462.06,0,3,Control,65,0-50K,0
19832,1.0,1.0,1.0,1.0,1.0,1,0,1,14,168,63.5,F,2,97291.64,3,6,Control,64,50K-100K,3
20091,1.0,3.0,2.0,1.0,1.0,1,1,0,5,70,21.0,U,3,69958.08,5,8,Control,21,50K-100K,5
20185,1.0,6.0,10.0,10.0,3.0,1,1,0,15,189,60.5,F,2,69992.51999999999,2,5,Test,60,50K-100K,2
20537,1.0,1.0,1.0,1.0,1.0,1,0,1,9,109,74.5,F,2,72955.33,6,9,Control,74,50K-100K,6
20564,1.0,1.0,1.0,3.0,4.0,1,1,0,10,124,55.5,M,6,1648443.6,3,6,Test,56,1M-5M,3
20643,1.0,1.0,1.0,1.0,1.0,1,0,1,9,119,34.5,M,2,59487.79,2,5,Test,34,50K-100K,2
20668,,2.0,1.0,,,0,0,0,28,342,68.0,F,2,38528.21,5,8,Test,68,0-50K,5
20898,,1.0,,,,0,0,0,4,58,27.0,U,2,44859.81,3,6,Control,27,0-50K,3
21200,,2.0,1.0,1.0,1.0,0,0,0,5,71,61.0,U,2,244443.18,6,9,Test,61,100K-250K,6
21242,1.0,1.0,1.0,1.0,1.0,1,0,1,13,163,30.5,F,2,42414.56,6,9,Control,30,0-50K,6
21281,1.0,2.0,3.0,2.0,1.0,1,1,0,12,144,63.5,M,2,24221.12,0,3,Test,64,0-50K,0
21353,1.0,1.0,1.0,3.0,3.0,1,1,0,21,260,77.5,F,2,25418.25,2,5,Control,78,0-50K,2
21403,,5.0,,,,0,0,0,11,143,41.0,F,2,74353.32,1,4,Test,41,50K-100K,1
21498,1.0,5.0,2.0,2.0,2.0,1,1,0,16,193,70.5,F,2,50672.1,5,8,Control,70,50K-100K,5
21522,,9.0,3.0,2.0,2.0,0,0,0,4,58,65.0,F,2,76748.89,6,9,Test,65,50K-100K,6
21596,1.0,2.0,2.0,1.0,1.0,1,1,0,11,142,43.0,U,2,56511.63,0,3,Test,43,50K-100K,0
21719,,1.0,1.0,1.0,1.0,0,0,0,5,60,27.0,M,2,30765.88,0,3,Control,27,0-50K,0
21940,1.0,5.0,2.0,2.0,1.0,1,1,0,12,150,43.5,M,2,33031.88,6,9,Control,44,0-50K,6
21970,1.0,2.0,2.0,2.0,2.0,1,1,0,5,65,22.5,U,4,170906.62,4,7,Control,22,100K-250K,4
22007,2.0,1.0,1.0,1.0,1.0,1,0,0,10,131,75.5,F,2,168540.65000000002,6,9,Test,76,100K-250K,6
22793,,1.0,1.0,1.0,,0,0,0,16,193,55.0,M,2,219289.2,1,4,Test,55,100K-250K,1
22885,,5.0,7.0,6.0,5.0,0,0,0,5,70,32.0,F,3,149784.99,6,9,Control,32,100K-250K,6
23276,1.0,1.0,1.0,1.0,3.0,1,1,0,13,158,67.5,M,2,183345.95,3,6,Control,68,100K-250K,3
23864,1.0,1.0,1.0,1.0,1.0,1,0,1,16,196,47.5,M,2,192922.53,2,5,Control,48,100K-250K,2
23914,1.0,1.0,1.0,1.0,1.0,1,0,1,7,91,25.0,U,2,30797.88,4,7,Test,25,0-50K,4
24079,,3.0,,,,0,0,0,10,125,30.0,F,2,183067.04,6,9,Control,30,100K-250K,6
24443,1.0,6.0,6.0,5.0,3.0,1,1,0,10,122,49.0,M,2,331869.28,6,9,Test,49,250K-500K,6
24572,1.0,2.0,2.0,1.0,1.0,1,1,0,6,72,23.5,F,2,52351.16,3,6,Test,24,50K-100K,3
24703,1.0,1.0,1.0,1.0,1.0,1,0,1,5,63,30.5,F,3,30123.94,6,9,Test,30,0-50K,6
24710,1.0,1.0,1.0,1.0,1.0,1,0,1,21,259,49.0,F,3,499093.11,4,7,Control,49,250K-500K,4
24841,6.0,2.0,2.0,1.0,1.0,1,1,0,14,178,70.5,M,2,122013.3,6,9,Test,70,100K-250K,6
25022,1.0,1.0,1.0,1.0,1.0,1,0,1,8,98,26.5,U,2,75836.08,3,6,Test,26,50K-100K,3
25026,2.0,1.0,1.0,1.0,1.0,1,0,0,10,123,62.5,M,2,49325.12,6,9,Test,62,0-50K,6
25043,1.0,1.0,1.0,1.0,1.0,1,0,1,25,310,59.5,F,2,101511.78,6,9,Control,60,100K-250K,6
25766,1.0,1.0,1.0,2.0,2.0,1,1,0,15,181,33.5,F,2,70057.79000000001,0,3,Control,34,50K-100K,0
26036,1.0,1.0,1.0,1.0,1.0,1,0,1,12,154,28.5,M,3,41695.78999999999,6,9,Test,28,0-50K,6
26070,1.0,1.0,1.0,1.0,1.0,1,0,1,10,124,24.0,M,2,42777.59,1,5,Test,24,0-50K,1
26105,1.0,2.0,1.0,1.0,1.0,1,0,0,5,65,33.0,U,2,80349.53,0,3,Test,33,50K-100K,0
26211,1.0,1.0,1.0,1.0,1.0,1,0,1,15,181,41.5,F,2,175885.87,0,3,Control,42,100K-250K,0
26286,,1.0,1.0,,,0,0,0,12,149,71.0,F,2,27511.56,3,6,Control,71,0-50K,3
26696,,3.0,,,,0,0,0,29,352,59.0,M,4,548368.8,5,8,Test,59,500K-1M,5
27021,1.0,2.0,2.0,2.0,2.0,1,1,0,9,114,34.5,M,3,94571.25,6,9,Control,34,50K-100K,6
27075,1.0,1.0,1.0,1.0,1.0,1,0,1,20,250,53.5,M,2,252504.83,1,4,Test,54,250K-500K,1
27241,1.0,3.0,3.0,2.0,1.0,1,1,0,8,101,34.5,U,5,645122.5,6,9,Control,34,500K-1M,6
27554,1.0,1.0,1.0,1.0,1.0,1,0,1,16,194,36.0,M,2,88188.19,3,6,Control,36,50K-100K,3
27764,3.0,2.0,2.0,1.0,1.0,1,1,0,4,58,23.0,U,2,30495.82,1,4,Test,23,0-50K,1
27907,1.0,1.0,1.0,1.0,1.0,1,0,1,4,59,52.5,U,2,29550.08,0,3,Test,52,0-50K,0
27988,1.0,8.0,2.0,2.0,1.0,1,1,0,28,345,60.0,F,3,303467.75,6,9,Control,60,250K-500K,6
28241,2.0,1.0,1.0,1.0,1.0,1,0,0,6,80,48.5,M,3,421518.75,5,8,Test,48,250K-500K,5
28371,1.0,2.0,2.0,2.0,1.0,1,1,0,11,139,34.5,M,3,307545.14,6,9,Test,34,250K-500K,6
28542,1.0,1.0,1.0,1.0,1.0,1,0,1,16,195,55.0,M,3,392091.16,0,3,Control,55,250K-500K,0
28705,1.0,3.0,3.0,2.0,1.0,1,1,0,15,190,53.0,F,2,24910.86,6,9,Control,53,0-50K,6
28845,1.0,1.0,1.0,1.0,1.0,1,0,1,12,144,33.5,M,2,129771.01,1,4,Control,34,100K-250K,1
28857,1.0,4.0,5.0,4.0,3.0,1,1,0,14,178,52.0,M,2,104511.86,3,6,Control,52,100K-250K,3
29227,2.0,3.0,1.0,1.0,1.0,1,0,0,15,189,69.5,F,3,73112.36,1,4,Test,70,50K-100K,1
29527,1.0,1.0,1.0,2.0,1.0,1,1,0,10,129,51.5,F,2,48361.4,0,3,Test,52,0-50K,0
29595,3.0,1.0,1.0,1.0,1.0,1,0,0,5,68,37.0,U,2,46514.58,3,6,Control,37,0-50K,3
30318,1.0,5.0,3.0,2.0,2.0,1,1,0,4,59,54.5,U,3,91676.51,4,7,Test,54,50K-100K,4
30462,,1.0,,,,0,0,0,15,190,66.0,M,2,235960.05,3,6,Test,66,100K-250K,3
30493,1.0,2.0,3.0,1.0,1.0,1,1,0,15,184,49.5,F,2,169561.27000000002,0,3,Test,50,100K-250K,0
31191,,2.0,,,,0,0,0,15,189,20.0,M,2,26368.84,3,6,Control,20,0-50K,3
31264,1.0,3.0,2.0,2.0,1.0,1,1,0,14,174,37.0,M,2,60888.18,5,8,Control,37,50K-100K,5
31336,2.0,2.0,6.0,4.0,2.0,1,1,0,10,123,28.5,M,3,50968.89,6,9,Test,28,50K-100K,6
31404,1.0,1.0,1.0,1.0,1.0,1,0,1,22,268,54.5,U,2,43254.15,3,6,Test,54,0-50K,3
31499,1.0,3.0,2.0,2.0,1.0,1,1,0,20,246,66.0,M,3,211432.85,3,6,Test,66,100K-250K,3
31502,1.0,2.0,2.0,2.0,2.0,1,1,0,7,84,47.5,U,2,57208.46,1,4,Control,48,50K-100K,1
31597,,8.0,2.0,1.0,1.0,0,0,0,6,80,68.0,U,2,144290.56,6,9,Test,68,100K-250K,6
31715,1.0,1.0,1.0,1.0,1.0,1,0,1,7,85,32.5,U,2,44980.67999999999,1,4,Control,32,0-50K,1
31766,,3.0,3.0,1.0,,0,0,0,14,176,19.0,F,2,26438.88,3,6,Test,19,0-50K,3
32197,1.0,1.0,1.0,1.0,1.0,1,0,1,15,183,42.5,M,2,36420.05,1,4,Control,42,0-50K,1
32305,,1.0,1.0,,,0,0,0,7,95,69.0,F,2,239151.07,2,5,Control,69,100K-250K,2
32471,,3.0,2.0,2.0,2.0,0,0,0,12,154,57.0,F,2,36440.11,2,5,Test,57,0-50K,2
32521,1.0,1.0,1.0,1.0,1.0,1,0,1,14,174,57.5,F,2,71650.0,3,6,Test,58,50K-100K,3
32746,1.0,4.0,3.0,1.0,1.0,1,1,0,14,171,40.5,F,2,63460.18,3,6,Test,40,50K-100K,3
32859,,1.0,1.0,1.0,1.0,0,0,0,4,48,66.0,U,2,36500.69,1,4,Control,66,0-50K,1
33190,1.0,1.0,1.0,1.0,1.0,1,0,1,14,171,44.0,F,2,108890.4,5,8,Control,44,100K-250K,5
33265,2.0,1.0,1.0,1.0,1.0,1,0,0,18,219,42.5,U,3,499871.06,6,9,Test,42,250K-500K,6
33463,1.0,2.0,3.0,3.0,3.0,1,1,0,4,59,33.5,U,2,41910.53999999999,2,5,Control,34,0-50K,2
33472,5.0,1.0,1.0,1.0,1.0,1,0,0,5,65,42.5,U,2,42918.45,6,9,Test,42,0-50K,6
33752,1.0,1.0,1.0,1.0,1.0,1,0,1,8,106,51.5,F,2,27416.12,0,3,Test,52,0-50K,0
34067,1.0,2.0,2.0,1.0,1.0,1,1,0,21,262,65.5,M,3,66801.59,4,7,Control,66,50K-100K,4
34101,,4.0,,,,0,0,0,16,196,52.0,F,2,146810.53,2,5,Test,52,100K-250K,2
34267,1.0,1.0,1.0,1.0,1.0,1,0,1,21,255,74.5,M,2,38494.91,1,4,Control,74,0-50K,1
34501,,4.0,2.0,2.0,,0,0,0,11,143,40.0,F,2,110211.33,2,5,Control,40,100K-250K,2
34603,1.0,1.0,1.0,1.0,1.0,1,0,1,16,194,40.5,M,2,58331.59,0,3,Control,40,50K-100K,0
34608,,1.0,1.0,,,0,0,0,17,215,40.0,F,2,163981.37,6,9,Test,40,100K-250K,6
34631,,3.0,2.0,1.0,1.0,0,0,0,12,154,52.0,M,2,25427.2,3,6,Control,52,0-50K,3
35010,,2.0,2.0,1.0,,0,0,0,8,100,47.0,U,2,99482.03,4,7,Test,47,50K-100K,4
35087,,1.0,2.0,2.0,,0,0,0,13,158,22.0,M,3,49199.85,0,3,Control,22,0-50K,0
35091,,2.0,1.0,,,0,0,0,7,85,24.0,U,2,28881.02,0,3,Test,24,0-50K,0
35138,3.0,1.0,1.0,1.0,1.0,1,0,0,24,298,81.5,F,3,794375.0900000001,3,6,Test,82,500K-1M,3
35181,1.0,3.0,2.0,1.0,1.0,1,1,0,15,190,48.5,M,2,24566.59,1,4,Test,48,0-50K,1
35257,1.0,1.0,1.0,1.0,1.0,1,0,1,7,85,32.5,U,2,60991.71,2,5,Control,32,50K-100K,2
35346,1.0,1.0,1.0,1.0,1.0,1,0,1,7,88,32.5,U,3,57444.72,3,6,Control,32,50K-100K,3
35417,1.0,1.0,1.0,1.0,1.0,1,0,1,19,230,26.5,F,2,73654.44,3,6,Control,26,50K-100K,3
35476,1.0,5.0,3.0,1.0,1.0,1,1,0,20,250,31.0,M,2,86568.15,6,9,Test,31,50K-100K,6
35922,1.0,2.0,1.0,1.0,1.0,1,0,0,4,58,44.5,U,2,65375.71,4,7,Test,44,50K-100K,4
36109,,2.0,2.0,1.0,1.0,0,0,0,21,257,71.5,M,4,68812.69,6,9,Control,72,50K-100K,6
36342,1.0,1.0,1.0,1.0,1.0,1,0,1,18,224,49.5,M,2,474178.57,1,4,Test,50,250K-500K,1
36363,1.0,1.0,1.0,1.0,1.0,1,0,1,6,82,30.0,U,2,67935.79000000001,6,9,Test,30,50K-100K,6
36430,3.0,1.0,1.0,2.0,3.0,1,1,0,6,72,57.5,F,3,115992.74,3,6,Test,58,100K-250K,3
36432,,2.0,2.0,1.0,,0,0,0,29,355,59.0,F,2,114138.71,2,5,Test,59,100K-250K,2
36555,,5.0,3.0,1.0,1.0,0,0,0,15,191,70.0,M,2,405169.15,4,7,Test,70,250K-500K,4
36986,1.0,6.0,5.0,2.0,2.0,1,1,0,26,318,77.5,M,2,234612.34000000003,5,8,Test,78,100K-250K,5
37064,1.0,1.0,1.0,3.0,3.0,1,1,0,5,60,32.5,U,2,31717.63,6,9,Control,32,0-50K,6
37295,1.0,,1.0,2.0,2.0,0,0,0,7,90,31.5,U,2,57177.26,3,6,Control,32,50K-100K,3
37408,1.0,1.0,1.0,1.0,1.0,1,0,1,6,82,46.5,U,2,35471.71,0,3,Control,46,0-50K,0
37423,1.0,7.0,5.0,1.0,1.0,1,1,0,17,209,48.5,U,2,66037.22,6,9,Test,48,50K-100K,6
37667,1.0,1.0,1.0,1.0,1.0,1,0,1,10,122,32.0,F,2,79397.82,3,6,Test,32,50K-100K,3
37691,,3.0,1.0,,,0,0,0,20,245,30.0,M,3,27675.77,0,3,Test,30,0-50K,0
37705,1.0,1.0,1.0,1.0,1.0,1,0,1,7,90,24.5,U,3,52655.91,2,5,Test,24,50K-100K,2
37897,1.0,1.0,1.0,1.0,1.0,1,0,1,13,156,61.5,F,4,207677.37,6,9,Test,62,100K-250K,6
38275,,3.0,,,,0,0,0,5,70,57.0,U,2,27780.68,0,3,Test,57,0-50K,0
38283,1.0,3.0,2.0,1.0,1.0,1,1,0,7,87,55.5,U,2,120493.88,6,9,Test,56,100K-250K,6
38340,2.0,1.0,1.0,1.0,1.0,1,0,0,6,78,38.5,U,2,55491.25,2,5,Test,38,50K-100K,2
38551,1.0,2.0,1.0,1.0,1.0,1,0,0,20,248,64.5,M,2,169952.78999999998,4,7,Test,64,100K-250K,4
38685,2.0,1.0,1.0,1.0,1.0,1,0,0,20,248,53.0,F,3,116735.94,4,7,Control,53,100K-250K,4
38714,1.0,1.0,1.0,1.0,1.0,1,0,1,10,122,60.0,M,2,51584.55,6,9,Control,60,50K-100K,6
38775,,2.0,,,,0,0,0,23,284,43.0,F,2,30499.53,1,4,Test,43,0-50K,1
38930,1.0,1.0,2.0,2.0,2.0,1,1,0,22,274,25.5,F,2,66409.57,3,6,Control,26,50K-100K,3
38963,1.0,1.0,1.0,1.0,1.0,1,0,1,20,245,45.5,M,2,752084.8200000001,0,5,Control,46,500K-1M,0
39004,,1.0,,,,0,0,0,19,228,48.0,M,2,54444.15,6,9,Test,48,50K-100K,6
39075,1.0,1.0,1.0,1.0,1.0,1,0,1,14,177,62.5,F,2,226185.21,2,5,Control,62,100K-250K,2
39566,1.0,1.0,1.0,1.0,1.0,1,0,1,8,106,32.5,M,3,41781.78999999999,3,6,Test,32,0-50K,3
39968,,2.0,,,,0,0,0,4,57,50.0,F,2,58599.55,3,6,Control,50,50K-100K,3
40283,,10.0,,,,0,0,0,14,169,43.0,F,2,59625.44,6,9,Test,43,50K-100K,6
40439,1.0,1.0,1.0,1.0,1.0,1,0,1,7,90,35.5,M,3,55092.57,6,9,Test,36,50K-100K,6
40969,,4.0,1.0,,,0,0,0,7,84,49.0,U,2,260217.2,0,3,Test,49,250K-500K,0
41122,1.0,1.0,1.0,1.0,1.0,1,0,1,4,58,26.5,U,2,32267.32,1,4,Test,26,0-50K,1
